Events
100
Subject,Context,Name,Time (s),Description
HC032A,Left,Foot Strike,2.33,The instant the heel strikes the ground
HC032A,Left,Foot Strike,1.21,The instant the heel strikes the ground
HC032A,Left,Foot Strike,3.34,The instant the heel strikes the ground
HC032A,Left,Foot Off,2.96,The instant the toe leaves the ground
HC032A,Left,Foot Off,0.8,The instant the toe leaves the ground
HC032A,Left,Foot Off,1.89,The instant the toe leaves the ground
HC032A,Right,Foot Strike,1.76,The instant the heel strikes the ground
HC032A,Right,Foot Strike,0.69,The instant the heel strikes the ground
HC032A,Right,Foot Strike,2.83,The instant the heel strikes the ground
HC032A,Right,Foot Strike,3.88,The instant the heel strikes the ground
HC032A,Right,Foot Off,2.43,The instant the toe leaves the ground
HC032A,Right,Foot Off,1.32,The instant the toe leaves the ground
HC032A,Right,Foot Off,3.49,The instant the toe leaves the ground

Devices
1000
,,Imported Force Plate - Force,,,Imported Force Plate - Moment,,,Imported Force Plate - CoP,,,Imported Force Plate - Force,,,Imported Force Plate - Moment,,,Imported Force Plate - CoP,,,Imported Analog Device - Voltage,,,,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,L Rect,R Rect,L Hams,R Hams,L Gast,R Gast,L Tib Ant,R Tib Ant,L Spare,R Spare,L Tib Post,R Tib Post
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V,V,V
57,2,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,0.000686646,-0.0012207,0.00720978,-0.00175476,0.0208664,-0.000686646,-0.00572205,-0.000839233,0.00244141,0.00179291,0.00160217,0.00377655
57,3,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.0094223,-0.00114441,0.00331879,-0.0018692,-0.0362396,-0.00106812,-0.00606537,-0.00087738,0.000915527,0.00152588,0.000686646,0.00106812
57,4,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00270844,-0.0012207,-0.00457764,-0.00175476,-0.0808716,-0.000724792,-0.00541687,-0.000839233,0.000343323,0.000343323,-0.000114441,0.000305176
57,5,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00774384,-0.00106812,0.00331879,-0.0018692,-0.0223541,-0.0012207,-0.00545502,-0.000953674,0.000457764,0.000801086,0.000267029,-0.000228882
57,6,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00598907,-0.00110626,-0.00488281,-0.00167847,-0.00228882,-0.00148773,-0.00530243,-0.000801086,0.000495911,0.000648499,0.000190735,0.00038147
57,7,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.0038147,-0.00125885,-0.00392914,-0.0012207,-0.0145721,-0.000953674,-0.00526428,-0.000953674,0.000305176,0.000648499,0.000305176,0.00038147
57,8,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,0.00656128,-0.00114441,-0.00385284,-0.00167847,0.0143814,-0.000839233,-0.00530243,-0.000610352,0.000267029,0.0030899,-0.00087738,0.00148773
57,9,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00133514,-0.00137329,-0.0140762,-0.00156403,0.080452,-0.001297,-0.00499725,-0.000915527,0.00038147,0.000762939,0.000457764,0.000457764
58,0,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00476837,7.62939e-005,-0.00549316,-0.00156403,0.0578308,-0.000915527,-0.0166321,-0.000686646,0.00190735,0.0025177,0.00179291,0.00190735
58,1,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,0.00110626,-0.00133514,-0.00125885,-0.00171661,0.00366211,-0.00110626,0.00289917,-0.00087738,0.000190735,0.000534058,0.000114441,0.000457764
